texto_original,texto_limpio,valor_normalizado,metodo_usado,confianza,explicacion,requiere_revision,categoria,tipo_dato,id_original,division,esquema,clave_original,fecha_proceso
SANTA CRUZ MEYEHUALCO,SANTA CRUZ MEYEHUALCO,SANTA CRUZ MEYEHUALCO,EXACTO,1.0,Match exacto con referencia,False,EXACTO,colonia,0,DES,DDS,COL000,2025-05-28 11:21:40
AÑO DE JUAREZ,ANO DE JUAREZ,AÑO DE JUÁREZ,EXACTO,1.0,Match exacto con referencia,False,EXACTO,colonia,1,DES,DDS,COL001,2025-05-28 11:21:40
GRANJAS SAN ANTONIO,GRANJAS SAN ANTONIO,GRANJAS SAN ANTONIO,EXACTO,1.0,Match exacto con referencia,False,EXACTO,colonia,2,DES,DDS,COL002,2025-05-28 11:21:40
DEL CARMEN,DEL CARMEN,DEL CARMEN,EXACTO,1.0,Match exacto con referencia,False,EXACTO,colonia,3,DES,DDS,COL003,2025-05-28 11:21:40
COPILCO UNIVERSIDAD,COPILCO UNIVERSIDAD,COPILCO UNIVERSIDAD,EXACTO,1.0,Match exacto con referencia,False,EXACTO,colonia,4,DES,DDS,COL004,2025-05-28 11:21:40
SAN ANGEL,SAN ANGEL,SAN ÁNGEL,EQUIVALENCIA,1.0,Equivalencia: SAN ANGEL → SAN ÁNGEL,False,EXACTO,colonia,5,DES,DDS,COL005,2025-05-28 11:21:40
LINDAVISTA NORTE,LINDAVISTA NORTE,LINDAVISTA NORTE,EXACTO,1.0,Match exacto con referencia,False,EXACTO,colonia,6,DES,DDS,COL006,2025-05-28 11:21:40
CENTRO GDL,CENTRO GDL,CENTRO,EQUIVALENCIA,1.0,Equivalencia: CENTRO GDL → CENTRO,False,EXACTO,colonia,7,DES,DDS,COL007,2025-05-28 11:21:40
AMERICANA,AMERICANA,AMERICANA,EXACTO,1.0,Match exacto con referencia,False,EXACTO,colonia,8,DES,DDS,COL008,2025-05-28 11:21:40
CENTRO ZAPOPAN,CENTRO ZAPOPAN,ZONA CENTRO,FUZZY_BAJO,0.8,Fuzzy match bajo: 'CENTRO ZAPOPAN' ≈ 'ZONA CENTRO' (80%),True,REVISAR,colonia,9,DES,DDS,COL009,2025-05-28 11:21:40
CENTRO MTY,CENTRO MTY,CENTRO,EQUIVALENCIA,1.0,Equivalencia: CENTRO MTY → CENTRO,False,EXACTO,colonia,10,DES,DDS,COL010,2025-05-28 11:21:40
ANCIRA,ANCIRA,ANCIRA,EXACTO,1.0,Match exacto con referencia,False,EXACTO,colonia,11,DES,DDS,COL011,2025-05-28 11:21:40
ZONA CENTRO TIJUANA,ZONA CENTRO TIJUANA,ZONA CENTRO,FUZZY_BAJO,0.73,Fuzzy match bajo: 'ZONA CENTRO TIJUANA' ≈ 'ZONA CENTRO' (73%),True,REVISAR,colonia,12,DES,DDS,COL012,2025-05-28 11:21:40
CENTRO NEZA,CENTRO NEZA,CENTRO,EQUIVALENCIA,1.0,Equivalencia: CENTRO NEZA → CENTRO,False,EXACTO,colonia,13,DES,DDS,COL013,2025-05-28 11:21:40
ECATEPEC CENTRO,ECATEPEC CENTRO,ECATEPEC CENTRO,EXACTO,1.0,Match exacto con referencia,False,EXACTO,colonia,14,DES,DDS,COL014,2025-05-28 11:21:40
JARDINES GUADALUPE,JARDINES GUADALUPE,JARDINES DE GUADALUPE,FUZZY_ALTO,0.92,Fuzzy match: 'JARDINES GUADALUPE' ≈ 'JARDINES DE GUADALUPE' (92%),False,CONFIABLE,colonia,15,DES,DDS,COL015,2025-05-28 11:21:40
RESIDENCIAL SAN AGUSTIN,RESIDENCIAL SAN AGUSTIN,RESIDENCIAL SAN AGUSTÍN,EXACTO,1.0,Match exacto con referencia,False,EXACTO,colonia,16,DES,DDS,COL016,2025-05-28 11:21:40
HIPODROMO,HIPODROMO,HIPÓDROMO,EQUIVALENCIA,1.0,Equivalencia: HIPODROMO → HIPÓDROMO,False,EXACTO,colonia,17,DES,DDS,COL017,2025-05-28 11:21:40
IMPULSORA POPULAR,IMPULSORA POPULAR,IMPULSORA POPULAR AVÍCOLA,FUZZY_BAJO,0.83,Fuzzy match bajo: 'IMPULSORA POPULAR' ≈ 'IMPULSORA POPULAR AVÍCOLA' (83%),True,REVISAR,colonia,18,DES,DDS,COL018,2025-05-28 11:21:40
COLONIA_INEXISTENTE,COLONIA INEXISTENTE,,SIN_MATCH,0.0,No se encontró coincidencia para 'COLONIA INEXISTENTE',True,SIN_MATCH,colonia,19,DES,DDS,COL019,2025-05-28 11:21:40
BASURA123,BASURA,,SIN_MATCH,0.0,No se encontró coincidencia para 'BASURA',True,SIN_MATCH,colonia,20,DES,DDS,COL020,2025-05-28 11:21:40
SIN_CODIGO_POSTAL,SIN CODIGO POSTAL,,SIN_MATCH,0.0,No se encontró coincidencia para 'SIN CODIGO POSTAL',True,SIN_MATCH,colonia,21,DES,DDS,COL021,2025-05-28 11:21:40
