texto_original,texto_limpio,valor_normalizado,metodo_usado,confianza,explicacion,requiere_revision,categoria,tipo_dato,id_original,division,esquema,clave_original,fecha_proceso
RINCON DE 925,RINCON DE,,SIN_MATCH,0.0,No se encontró coincidencia para 'RINCON DE',True,SIN_MATCH,colonia,0,DES,MASIVO,MASS000000,2025-05-28 11:21:40
INDUSTRIAL 347,INDUSTRIAL,,SIN_MATCH,0.0,No se encontró coincidencia para 'INDUSTRIAL',True,SIN_MATCH,colonia,1,DES,MASIVO,MASS000001,2025-05-28 11:21:40
RESIDENCIAL 744,RESIDENCIAL,RESIDENCIAL SAN AGUSTÍN,FUZZY_BAJO,0.67,Fuzzy match bajo: 'RESIDENCIAL' ≈ 'RESIDENCIAL SAN AGUSTÍN' (67%),True,REVISAR,colonia,2,DES,MASIVO,MASS000002,2025-05-28 11:21:40
VILLAS DE 589,VILLAS DE,,SIN_MATCH,0.0,No se encontró coincidencia para 'VILLAS DE',True,SIN_MATCH,colonia,3,DES,MASIVO,MASS000003,2025-05-28 11:21:40
LOMAS DE 774,LOMAS DE,,SIN_MATCH,0.0,No se encontró coincidencia para 'LOMAS DE',True,SIN_MATCH,colonia,4,DES,MASIVO,MASS000004,2025-05-28 11:21:40
FRACCIONAMIENTO 621,FRACCIONAMIENTO,,SIN_MATCH,0.0,No se encontró coincidencia para 'FRACCIONAMIENTO',True,SIN_MATCH,colonia,5,DES,MASIVO,MASS000005,2025-05-28 11:21:40
AMPLIACION 602_123,AMPLIACION,,SIN_MATCH,0.0,No se encontró coincidencia para 'AMPLIACION',True,SIN_MATCH,colonia,6,DES,MASIVO,MASS000006,2025-05-28 11:21:40
AMPLIACION 127,AMPLIACION,,SIN_MATCH,0.0,No se encontró coincidencia para 'AMPLIACION',True,SIN_MATCH,colonia,7,DES,MASIVO,MASS000007,2025-05-28 11:21:40
VILLAS DE 359,VILLAS DE,,SIN_MATCH,0.0,No se encontró coincidencia para 'VILLAS DE',True,SIN_MATCH,colonia,8,DES,MASIVO,MASS000008,2025-05-28 11:21:40
RINCON DE 34,RINCON DE 34,,SIN_MATCH,0.0,No se encontró coincidencia para 'RINCON DE 34',True,SIN_MATCH,colonia,9,DES,MASIVO,MASS000009,2025-05-28 11:21:40
  RESID 368  ,RESID,RESIDENCIAL,EQUIVALENCIA,1.0,Equivalencia: RESID → RESIDENCIAL,False,EXACTO,colonia,10,DES,MASIVO,MASS000010,2025-05-28 11:21:40
FRACCIONAMIENTO 240,FRACCIONAMIENTO,,SIN_MATCH,0.0,No se encontró coincidencia para 'FRACCIONAMIENTO',True,SIN_MATCH,colonia,11,DES,MASIVO,MASS000011,2025-05-28 11:21:40
VILLAS DE 971,VILLAS DE,,SIN_MATCH,0.0,No se encontró coincidencia para 'VILLAS DE',True,SIN_MATCH,colonia,12,DES,MASIVO,MASS000012,2025-05-28 11:21:40
