texto_original,texto_limpio,valor_normalizado,metodo_usado,confianza,explicacion,requiere_revision,categoria,tipo_dato,id_original,division,esquema,clave_original,fecha_proceso
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,EXACTO,1.0,Match exacto con referencia,False,EXACTO,municipio,0,DES,DB2,AGS001,2025-05-28 11:21:40
ENSENADA,ENSENADA,ENSENADA,EXACTO,1.0,Match exacto con referencia,False,EXACTO,municipio,1,DES,DB2,BC001,2025-05-28 11:21:40
MEXICALI,MEXICALI,MEXICALI,EXACTO,1.0,Match exacto con referencia,False,EXACTO,municipio,2,DES,DB2,BC002,2025-05-28 11:21:40
TIJUANA,TIJUANA,TIJUANA,EQUIVALENCIA,1.0,Equivalencia: TIJUANA → TIJUANA,False,EXACTO,municipio,3,DES,DB2,BC004,2025-05-28 11:21:40
AZCAPOTZALCO,AZCAPOTZALCO,AZCAPOTZALCO,EXACTO,1.0,Match exacto con referencia,False,EXACTO,municipio,4,DES,DB2,DF001,2025-05-28 11:21:40
COYOACAN,COYOACAN,COYOACÁN,EQUIVALENCIA,1.0,Equivalencia: COYOACAN → COYOACÁN,False,EXACTO,municipio,5,DES,DB2,DF002,2025-05-28 11:21:40
GUSTAVO A MADERO,GUSTAVO A MADERO,GUSTAVO A. MADERO,EQUIVALENCIA,1.0,Equivalencia: GUSTAVO A MADERO → GUSTAVO A. MADERO,False,EXACTO,municipio,6,DES,DB2,DF004,2025-05-28 11:21:40
IZTAPALAPA,IZTAPALAPA,IZTAPALAPA,EQUIVALENCIA,1.0,Equivalencia: IZTAPALAPA → IZTAPALAPA,False,EXACTO,municipio,7,DES,DB2,DF006,2025-05-28 11:21:40
ECATEPEC DE MORELOS,ECATEPEC DE MORELOS,ECATEPEC DE MORELOS,EXACTO,1.0,Match exacto con referencia,False,EXACTO,municipio,8,DES,DB2,MEX033,2025-05-28 11:21:40
NEZAHUALCOYOTL,NEZAHUALCOYOTL,NEZAHUALCÓYOTL,EQUIVALENCIA,1.0,Equivalencia: NEZAHUALCOYOTL → NEZAHUALCÓYOTL,False,EXACTO,municipio,9,DES,DB2,MEX058,2025-05-28 11:21:40
TLALNEPANTLA DE BAZ,TLALNEPANTLA DE BAZ,TLALNEPANTLA DE BAZ,EXACTO,1.0,Match exacto con referencia,False,EXACTO,municipio,10,DES,DB2,MEX081,2025-05-28 11:21:40
TOLUCA,TOLUCA,TOLUCA,EXACTO,1.0,Match exacto con referencia,False,EXACTO,municipio,11,DES,DB2,MEX104,2025-05-28 11:21:40
GUADALAJARA,GUADALAJARA,GUADALAJARA,EQUIVALENCIA,1.0,Equivalencia: GUADALAJARA → GUADALAJARA,False,EXACTO,municipio,12,DES,DB2,JAL020,2025-05-28 11:21:40
MONTERREY,MONTERREY,MONTERREY,EQUIVALENCIA,1.0,Equivalencia: MONTERREY → MONTERREY,False,EXACTO,municipio,13,DES,DB2,NL039,2025-05-28 11:21:40
MUNICIPIO_INEXISTENTE,MUNICIPIO INEXISTENTE,,SIN_MATCH,0.0,No se encontró coincidencia para 'MUNICIPIO INEXISTENTE',True,SIN_MATCH,municipio,14,DES,DB2,XXX999,2025-05-28 11:21:40
SIN_CLAVE_MUN,SIN CLAVE MUN,,SIN_MATCH,0.0,No se encontró coincidencia para 'SIN CLAVE MUN',True,SIN_MATCH,municipio,15,DES,DB2,,2025-05-28 11:21:40
