texto_original,texto_limpio,valor_normalizado,metodo_usado,confianza,explicacion,requiere_revision,categoria,tipo_dato,id_original,division,esquema,clave_original,fecha_proceso
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,EXACTO,1.0,Match exacto con referencia,False,EXACTO,municipio,0,DES,DDS,1,2025-05-28 11:21:40
ASIENTOS,ASIENTOS,ASIENTOS,EXACTO,1.0,Match exacto con referencia,False,EXACTO,municipio,1,DES,DDS,2,2025-05-28 11:21:40
CALVILLO,CALVILLO,CALVILLO,EXACTO,1.0,Match exacto con referencia,False,EXACTO,municipio,2,DES,DDS,3,2025-05-28 11:21:40
ENSENADA,ENSENADA,ENSENADA,EXACTO,1.0,Match exacto con referencia,False,EXACTO,municipio,3,DES,DDS,1,2025-05-28 11:21:40
MEXICALI,MEXICALI,MEXICALI,EXACTO,1.0,Match exacto con referencia,False,EXACTO,municipio,4,DES,DDS,2,2025-05-28 11:21:40
TECATE,TECATE,TECATE,EXACTO,1.0,Match exacto con referencia,False,EXACTO,municipio,5,DES,DDS,3,2025-05-28 11:21:40
TIJUANA,TIJUANA,TIJUANA,EQUIVALENCIA,1.0,Equivalencia: TIJUANA → TIJUANA,False,EXACTO,municipio,6,DES,DDS,4,2025-05-28 11:21:40
AZCAPOTZALCO,AZCAPOTZALCO,AZCAPOTZALCO,EXACTO,1.0,Match exacto con referencia,False,EXACTO,municipio,7,DES,DDS,1,2025-05-28 11:21:40
COYOACAN,COYOACAN,COYOACÁN,EQUIVALENCIA,1.0,Equivalencia: COYOACAN → COYOACÁN,False,EXACTO,municipio,8,DES,DDS,2,2025-05-28 11:21:40
CUAJIMALPA,CUAJIMALPA,CUAJIMALPA DE MORELOS,EQUIVALENCIA,1.0,Equivalencia: CUAJIMALPA → CUAJIMALPA DE MORELOS,False,EXACTO,municipio,9,DES,DDS,3,2025-05-28 11:21:40
GAM,GAM,GUSTAVO A. MADERO,EQUIVALENCIA,1.0,Equivalencia: GAM → GUSTAVO A. MADERO,False,EXACTO,municipio,10,DES,DDS,4,2025-05-28 11:21:40
IZTAPALAPA,IZTAPALAPA,IZTAPALAPA,EQUIVALENCIA,1.0,Equivalencia: IZTAPALAPA → IZTAPALAPA,False,EXACTO,municipio,11,DES,DDS,6,2025-05-28 11:21:40
ECATEPEC,ECATEPEC,ECATEPEC DE MORELOS,EQUIVALENCIA,1.0,Equivalencia: ECATEPEC → ECATEPEC DE MORELOS,False,EXACTO,municipio,12,DES,DDS,33,2025-05-28 11:21:40
NEZA,NEZA,NEZAHUALCÓYOTL,EQUIVALENCIA,1.0,Equivalencia: NEZA → NEZAHUALCÓYOTL,False,EXACTO,municipio,13,DES,DDS,58,2025-05-28 11:21:40
TLALNEPANTLA,TLALNEPANTLA,TLALNEPANTLA DE BAZ,EQUIVALENCIA,1.0,Equivalencia: TLALNEPANTLA → TLALNEPANTLA DE BAZ,False,EXACTO,municipio,14,DES,DDS,81,2025-05-28 11:21:40
TOLUCA,TOLUCA,TOLUCA,EXACTO,1.0,Match exacto con referencia,False,EXACTO,municipio,15,DES,DDS,104,2025-05-28 11:21:40
GUADALAJARA,GUADALAJARA,GUADALAJARA,EQUIVALENCIA,1.0,Equivalencia: GUADALAJARA → GUADALAJARA,False,EXACTO,municipio,16,DES,DDS,20,2025-05-28 11:21:40
MONTERREY,MONTERREY,MONTERREY,EQUIVALENCIA,1.0,Equivalencia: MONTERREY → MONTERREY,False,EXACTO,municipio,17,DES,DDS,39,2025-05-28 11:21:40
