division,esquema,clave_original,codigo_postal,nombre_original,fecha_extraccion
DES,DB2,DB2COL000,09010,SANTA CRUZ MEYEHUALCO,2025-05-28
DES,DB2,DB2COL001,09020,ANO DE JUAREZ,2025-05-28
DES,DB2,DB2COL002,09030,GRANJAS SAN ANTONIO,2025-05-28
DES,DB2,DB2COL003,04100,DEL CARMEN,2025-05-28
DES,DB2,DB2COL004,04120,COPILCO UNIVERSIDAD,2025-05-28
DES,DB2,DB2COL005,01000,SAN ANGEL,2025-05-28
DES,DB2,DB2COL006,07000,LINDAVISTA NORTE,2025-05-28
DES,DB2,DB2COL007,44100,CENTRO GDL,2025-05-28
DES,DB2,DB2COL008,44120,AMERICANA,2025-05-28
DES,DB2,DB2COL009,45010,CENTRO ZAPOPAN,2025-05-28
DES,DB2,DB2COL010,64000,CENTRO MTY,2025-05-28
DES,DB2,DB2COL011,64010,ANCIRA,2025-05-28
DES,DB2,DB2COL012,22000,ZONA CENTRO TIJUANA,2025-05-28
DES,DB2,DB2COL013,57000,CENTRO NEZA,2025-05-28
DES,DB2,DB2COL014,55000,ECATEPEC CENTRO,2025-05-28
DES,DB2,DB2COL015,44500,JARDINES GUADALUPE,2025-05-28
DES,DB2,DB2COL016,64700,RESIDENCIAL SAN AGUSTIN,2025-05-28
DES,DB2,DB2COL017,22500,HIPODROMO,2025-05-28
DES,DB2,DB2COL018,57200,IMPULSORA POPULAR,2025-05-28
DES,DB2,DB2COL019,00000,COLONIA_INEXISTENTE,2025-05-28
