division,esquema,clave_original,codigo_postal,nombre_original,fecha_extraccion
DES,DDS,COL000,09010,SANTA CRUZ MEYEHUALCO,2025-05-28
DES,DDS,COL001,09020,AÑO DE JUAREZ,2025-05-28
DES,DDS,COL002,09030,GRANJAS SAN ANTONIO,2025-05-28
DES,DDS,COL003,04100,DEL CARMEN,2025-05-28
DES,DDS,COL004,04120,COPILCO UNIVERSIDAD,2025-05-28
DES,DDS,COL005,01000,SAN ANGEL,2025-05-28
DES,DDS,COL006,07000,LINDAVISTA NORTE,2025-05-28
DES,DDS,COL007,44100,CENTRO GDL,2025-05-28
DES,DDS,COL008,44120,AMERICANA,2025-05-28
DES,DDS,COL009,45010,CENTRO ZAPOPAN,2025-05-28
DES,DDS,COL010,64000,CENTRO MTY,2025-05-28
DES,DDS,COL011,64010,ANCIRA,2025-05-28
DES,DDS,COL012,22000,ZONA CENTRO TIJUANA,2025-05-28
DES,DDS,COL013,57000,CENTRO NEZA,2025-05-28
DES,DDS,COL014,55000,ECATEPEC CENTRO,2025-05-28
DES,DDS,COL015,44500,JARDINES GUADALUPE,2025-05-28
DES,DDS,COL016,64700,RESIDENCIAL SAN AGUSTIN,2025-05-28
DES,DDS,COL017,22500,HIPODROMO,2025-05-28
DES,DDS,COL018,57200,IMPULSORA POPULAR,2025-05-28
DES,DDS,COL019,00000,COLONIA_INEXISTENTE,2025-05-28
DES,DDS,COL020,99999,BASURA123,2025-05-28
DES,DDS,COL021,,SIN_CODIGO_POSTAL,2025-05-28
