division,esquema,clave_original,codigo_postal,nombre_original,fecha_extraccion
DES,MASIVO,MASS000000,74356,RINCON DE 925,2025-03-01
DES,MASIVO,MASS000001,56613,INDUSTRIAL 347,2024-11-04
DES,MASIVO,MASS000002,36383,RESIDENCIAL 744,2024-10-25
DES,MASIVO,MASS000003,45239,VILLAS DE 589,2024-11-13
DES,MASIVO,MASS000004,90066,LOMAS DE 774,2024-08-28
DES,MASIVO,MASS000005,25554,FRACCIONAMIENTO 621,2024-11-16
DES,MASIVO,MASS000006,17558,AMPLIACION 602_123,2024-09-15
DES,MASIVO,MASS000007,51246,AMPLIACION 127,2024-12-05
DES,MASIVO,MASS000008,62762,VILLAS DE 359,2025-05-22
DES,MASIVO,MASS000009,94532,RINCON DE 34,2024-09-03
DES,MASIVO,MASS000010,22895,  RESID 368  ,2025-03-09
DES,MASIVO,MASS000011,78715,FRACCIONAMIENTO 240,2024-11-14
DES,MASIVO,MASS000012,12530,VILLAS DE 971,2025-05-20
DES,MASIVO,MASS000013,64606,SANTA 942,2025-02-19
DES,MASIVO,MASS000014,90168,LOTE 538,2025-05-04
DES,MASIVO,MASS000015,91274,MANZANA 812,2024-08-28
DES,MASIVO,MASS000016,53812,MANZANA 313,2024-07-31
DES,MASIVO,MASS000017,86300,SAN 520,2024-07-20
DES,MASIVO,MASS000018,49780,COMERCIAL 616,2025-01-16
DES,MASIVO,MASS000019,24378,UNIDAD HABITACIONAL 516,2024-12-22
DES,MASIVO,MASS000020,57428,LOTE 879,2025-03-06
DES,MASIVO,MASS000021,66974,RINCON DE 35,2024-11-09
DES,MASIVO,MASS000022,67831,BARRIO 281,2025-04-15
DES,MASIVO,MASS000023,54014,FRACCIONAMIENTO 666,2025-01-06
DES,MASIVO,MASS000024,73811,SAN 877,2025-02-28
DES,MASIVO,MASS000025,44622,LOMAS DE 736,2025-01-07
DES,MASIVO,MASS000026,20857,JARDINES DE 147,2024-09-09
DES,MASIVO,MASS000027,55596,LOMAS DE 310,2025-04-29
DES,MASIVO,MASS000028,28102,CONJUNTO HABITACIONAL 291,2024-06-11
DES,MASIVO,MASS000029,50243,UNIDAD HABITACIONAL 698,2024-10-14
DES,MASIVO,MASS000030,14833,NUEVA 102_123,2024-09-03
DES,MASIVO,MASS000031,62953,NUEVA 982,2025-04-09
DES,MASIVO,MASS000032,31692,VIEJA 211,2024-07-26
DES,MASIVO,MASS000033,26342,  SANTA 46  ,2024-08-03
DES,MASIVO,MASS000034,13094,  JARDINES DE 141  ,2024-09-02
DES,MASIVO,MASS000035,15082,LOTE 764,2025-04-22
DES,MASIVO,MASS000036,40215,UNIDAD HABITACIONAL 59,2024-07-28
DES,MASIVO,MASS000037,89660,RINCON DE 602,2024-10-17
DES,MASIVO,MASS000038,39883,FRACCIONAMIENTO 201,2024-11-02
DES,MASIVO,MASS000039,81338,FRACC 516,2024-09-07
DES,MASIVO,MASS000040,41203,MANZANA 811,2025-04-17
DES,MASIVO,MASS000041,28466,AMPLIACION 998,2024-08-23
DES,MASIVO,MASS000042,77815,LOTE 55,2024-06-11
DES,MASIVO,MASS000043,74165,SANTA 859,2025-02-02
DES,MASIVO,MASS000044,51491,CONJUNTO HABITACIONAL 121,2024-12-29
DES,MASIVO,MASS000045,98440,BARRIO 618,2024-09-02
DES,MASIVO,MASS000046,65854,BARRIO 828,2024-07-09
DES,MASIVO,MASS000047,47598,FRACCIONAMIENTO 11,2024-09-16
DES,MASIVO,MASS000048,52267,CENTRO 735,2024-11-19
DES,MASIVO,MASS000049,84747,  SAN 321  ,2024-10-24
DES,MASIVO,MASS000050,92163,LOMAS DE 304,2025-03-05
DES,MASIVO,MASS000051,77383,BARRIO 668,2024-10-28
DES,MASIVO,MASS000052,75139,CONJUNTO HABITACIONAL 169,2025-03-02
DES,MASIVO,MASS000053,27534,LOMAS DE 261,2025-02-01
DES,MASIVO,MASS000054,62231,PUEBLO 900,2024-12-19
DES,MASIVO,MASS000055,11195,MANZANA 331,2025-02-18
DES,MASIVO,MASS000056,76607,ZONA 465,2025-03-07
DES,MASIVO,MASS000057,73606,PUEBLO 375,2025-04-08
DES,MASIVO,MASS000058,16478,COMERCIAL 796,2024-08-15
DES,MASIVO,MASS000059,43686,  FRACCIONAMIENTO 395  ,2024-09-03
DES,MASIVO,MASS000060,46410,FRACC 767,2025-02-20
DES,MASIVO,MASS000061,27820,ZONA 226,2025-03-08
DES,MASIVO,MASS000062,37641,BARRIO 248,2025-04-21
DES,MASIVO,MASS000063,30734,VIEJA 594,2024-08-21
DES,MASIVO,MASS000064,60838,  PUEBLO 507  ,2024-07-30
DES,MASIVO,MASS000065,99623,JARDINES DE 757,2024-06-01
DES,MASIVO,MASS000066,29830,PUEBLO 904,2024-07-16
DES,MASIVO,MASS000067,30326,COMERCIAL 559,2024-10-16
DES,MASIVO,MASS000068,54092,BARRIO 131,2024-11-05
DES,MASIVO,MASS000069,69138,  SANTA 971  ,2025-01-25
DES,MASIVO,MASS000070,53280,AMPLIACION 211,2024-07-12
DES,MASIVO,MASS000071,28747,RESID 644,2025-05-04
DES,MASIVO,MASS000072,37306,JARDINES DE 743,2025-01-29
DES,MASIVO,MASS000073,56791,ZONA 850,2025-04-21
DES,MASIVO,MASS000074,23166,SECTOR 116_123,2024-11-28
DES,MASIVO,MASS000075,19208,COMERCIAL 83,2024-12-30
DES,MASIVO,MASS000076,19096,PUEBLO 222,2024-10-18
DES,MASIVO,MASS000077,54465,SECTOR 847,2024-11-02
DES,MASIVO,MASS000078,82046,SAN 369,2025-05-11
DES,MASIVO,MASS000079,18197,JARDINES DE 35,2025-05-23
DES,MASIVO,MASS000080,61448,LOTE 767_123,2025-05-06
DES,MASIVO,MASS000081,21383,COMERCIAL 65,2025-02-10
DES,MASIVO,MASS000082,44609,VIEJA 781,2024-10-17
DES,MASIVO,MASS000083,19526,CENTRO 834,2024-10-18
DES,MASIVO,MASS000084,72704,  LOMAS DE 748  ,2025-04-03
DES,MASIVO,MASS000085,45177,COMERCIAL 156,2025-03-03
DES,MASIVO,MASS000086,68833,ZONA 955,2024-11-30
DES,MASIVO,MASS000087,32560,RINCON DE 202,2024-08-03
DES,MASIVO,MASS000088,23586,CENTRO 972,2025-05-19
DES,MASIVO,MASS000089,70754,UNIDAD HABITACIONAL 170,2024-11-21
DES,MASIVO,MASS000090,15851,CENTRO 646,2025-05-08
DES,MASIVO,MASS000091,85435,  ZONA 13  ,2025-03-11
DES,MASIVO,MASS000092,35406,AMPLIACION 491,2024-07-02
DES,MASIVO,MASS000093,20823,VIEJA 543,2024-09-22
DES,MASIVO,MASS000094,83049,INDUSTRIAL 882,2024-12-26
DES,MASIVO,MASS000095,80247,LOTE 297,2024-08-16
DES,MASIVO,MASS000096,58766,PUEBLO 864,2025-05-18
DES,MASIVO,MASS000097,97916,LOMAS DE 971,2024-11-01
DES,MASIVO,MASS000098,63122,  MANZANA 312  ,2025-01-19
DES,MASIVO,MASS000099,73693,CONJUNTO HABITACIONAL 938,2024-12-17
DES,MASIVO,MASS000100,59061,INDUSTRIAL 625,2024-09-11
DES,MASIVO,MASS000101,31172,CENTRO 424,2025-01-13
DES,MASIVO,MASS000102,41127,NUEVA 671_123,2024-07-07
DES,MASIVO,MASS000103,16619,UNIDAD HABITACIONAL 307,2024-07-08
DES,MASIVO,MASS000104,51167,NUEVA 186,2024-07-23
DES,MASIVO,MASS000105,66645,VIEJA 865,2024-11-26
DES,MASIVO,MASS000106,88988,CENTRO 286,2025-01-17
DES,MASIVO,MASS000107,96375,VIEJA 752,2025-05-01
DES,MASIVO,MASS000108,84098,SANTA 129,2025-05-03
DES,MASIVO,MASS000109,24463,RESIDENCIAL 747,2024-09-30
DES,MASIVO,MASS000110,52828,MANZANA 120,2025-01-01
DES,MASIVO,MASS000111,96675,ZONA 277,2025-05-16
DES,MASIVO,MASS000112,98622,AMPLIACION 18_123,2025-04-20
DES,MASIVO,MASS000113,59332,INDUSTRIAL 712,2025-04-09
DES,MASIVO,MASS000114,28063,SANTA 105,2024-10-22
DES,MASIVO,MASS000115,52292,BARRIO 286,2024-08-06
DES,MASIVO,MASS000116,50620,COMERCIAL 671,2024-11-09
DES,MASIVO,MASS000117,57874,SAN 643,2025-03-11
DES,MASIVO,MASS000118,88171,COMERCIAL 82,2024-11-18
DES,MASIVO,MASS000119,38472,CENTRO 125,2025-02-23
DES,MASIVO,MASS000120,27014,FRACCIONAMIENTO 997,2025-04-13
DES,MASIVO,MASS000121,42982,COMERCIAL 367_123,2025-04-19
DES,MASIVO,MASS000122,34719,RESID 889,2024-09-08
DES,MASIVO,MASS000123,68658,SECTOR 937,2024-09-14
DES,MASIVO,MASS000124,82070,COMERCIAL 192,2024-12-25
DES,MASIVO,MASS000125,36615,BARRIO 176,2024-09-22
DES,MASIVO,MASS000126,46596,LOTE 200,2025-02-17
DES,MASIVO,MASS000127,64117,INDUSTRIAL 480,2025-03-30
