division,esquema,clave_original,nombre_original,fecha_extraccion
DES,DB2,AGS001,AGUASCALIENTES,2025-05-28
DES,DB2,BC001,ENSENADA,2025-05-28
DES,DB2,BC002,MEXICALI,2025-05-28
DES,DB2,BC004,TIJUANA,2025-05-28
DES,DB2,DF001,AZCAPOTZALCO,2025-05-28
DES,DB2,DF002,COYOACAN,2025-05-28
DES,DB2,DF004,GUSTAVO A MADERO,2025-05-28
DES,DB2,DF006,IZTAPALAPA,2025-05-28
DES,DB2,MEX033,ECATEPEC DE MORELOS,2025-05-28
DES,DB2,MEX058,NEZAHUALCOYOTL,2025-05-28
DES,DB2,MEX081,TLALNEPANTLA DE BAZ,2025-05-28
DES,DB2,MEX104,TOLUCA,2025-05-28
DES,DB2,JAL020,GUADALAJARA,2025-05-28
DES,DB2,NL039,MONTERREY,2025-05-28
DES,DB2,XXX999,MUNICIPIO_INEXISTENTE,2025-05-28
DES,DB2,,SIN_CLAVE_MUN,2025-05-28
