division,esquema,clave_original,nombre_original,fecha_extraccion
DES,DDS,001,AGUASCALIENTES,2025-05-28
DES,DDS,002,ASIENTOS,2025-05-28
DES,DDS,003,CALVILLO,2025-05-28
DES,DDS,001,ENSENADA,2025-05-28
DES,DDS,002,MEXICALI,2025-05-28
DES,DDS,003,TECATE,2025-05-28
DES,DDS,004,TIJUANA,2025-05-28
DES,DDS,001,AZCAPOTZALCO,2025-05-28
DES,DDS,002,COYOACAN,2025-05-28
DES,DDS,003,CUAJIMALPA,2025-05-28
DES,DDS,004,GAM,2025-05-28
DES,DDS,006,IZTAPALAPA,2025-05-28
DES,DDS,033,ECATEPEC,2025-05-28
DES,DDS,058,NEZA,2025-05-28
DES,DDS,081,TLALNEPANTLA,2025-05-28
DES,DDS,104,TOLUCA,2025-05-28
DES,DDS,020,GUADALAJARA,2025-05-28
DES,DDS,039,MONTERREY,2025-05-28
