municipio,codigo_postal,colonia,tipo_asent,lat,lng
IZTAPALAPA,09010,SANTA CRUZ MEYEHUALCO,COLONIA,24.379663,-101.503605
IZTAPALAPA,09020,AÑO DE JUÁREZ,COLONIA,21.267356,-106.327551
IZTAPALAPA,09030,GRANJAS SAN ANTONIO,COLONIA,27.063863,-91.891037
COYOACÁN,04100,DEL CARMEN,COLONIA,22.900172,-108.920591
COYOACÁN,04120,COPILCO UNIVERSIDAD,COLONIA,22.497252,-100.139113
ÁLVARO OBREGÓN,01000,SAN ÁNGEL,COLONIA,20.447958,-91.828279
ÁLVARO OBREGÓN,01010,SAN ÁNGEL INN,COLONIA,26.742353,-95.3444
GUSTAVO A. MADERO,07000,LINDAVISTA NORTE,COLONIA,27.198697,-107.012502
GUSTAVO A. MADERO,07010,LINDAVISTA SUR,COLONIA,31.734956,-94.233292
GUADALAJARA,44100,CENTRO,COLONIA,21.784463,-97.960187
GUADALAJARA,44110,ZONA CENTRO,COLONIA,31.270103,-100.965167
GUADALAJARA,44120,AMERICANA,COLONIA,27.095299,-93.199599
ZAPOPAN,45010,CENTRO,COLONIA,22.536178,-95.995159
ZAPOPAN,45020,BELISARIO DOMÍNGUEZ,COLONIA,23.221785,-100.501929
MONTERREY,64000,CENTRO,COLONIA,29.236417,-108.553122
MONTERREY,64010,ANCIRA,COLONIA,24.987565,-111.782149
MONTERREY,64020,BELLA VISTA,COLONIA,26.542072,-94.136607
SAN NICOLÁS DE LOS GARZA,66400,CENTRO,COLONIA,22.767794,-93.187653
TIJUANA,22000,ZONA CENTRO,COLONIA,25.340644,-102.744817
TIJUANA,22010,ZONA NORTE,COLONIA,20.481936,-90.323701
TIJUANA,22020,ZONA RÍO,COLONIA,20.147478,-86.906644
NEZAHUALCÓYOTL,57000,CENTRO,COLONIA,30.772675,-87.518875
NEZAHUALCÓYOTL,57100,BENITO JUÁREZ,COLONIA,28.865234,-103.534251
ECATEPEC DE MORELOS,55000,ECATEPEC CENTRO,COLONIA,28.692805,-110.472564
NAUCALPAN DE JUÁREZ,53000,NAUCALPAN CENTRO,COLONIA,28.421139,-108.100931
TLALNEPANTLA DE BAZ,54000,TLALNEPANTLA CENTRO,COLONIA,20.476036,-108.147088
GUADALAJARA,44500,JARDINES DE GUADALUPE,FRACCIONAMIENTO,23.499194,-103.34303
MONTERREY,64700,RESIDENCIAL SAN AGUSTÍN,FRACCIONAMIENTO,26.840673,-98.595261
TIJUANA,22500,HIPÓDROMO,FRACCIONAMIENTO,20.616179,-108.88915
NEZAHUALCÓYOTL,57200,IMPULSORA POPULAR AVÍCOLA,UNIDAD HABITACIONAL,21.886245,-113.395099
