estado,clave_mun,nombre,lat,lng,poblacion
AGUASCALIENTES,001,AGUASCALIENTES,21.8853,-102.2916,948990
AGUASCALIENTES,002,ASIENTOS,22.2386,-102.0889,50271
AGUASCALIENTES,003,CALVILLO,21.8469,-102.7186,56048
BAJA CALIFORNIA,001,ENSENADA,31.8661,-116.5956,542896
BAJA CALIFORNIA,002,MEXICALI,32.6519,-115.4683,1049792
BAJA CALIFORNIA,003,TECATE,32.5341,-116.6275,108440
BAJA CALIFORNIA,004,TIJUANA,32.5149,-117.0382,1810645
BAJA CALIFORNIA,005,PLAYAS DE ROSARITO,32.3668,-117.0648,126890
CIUDAD DE MÉXICO,001,AZCAPOTZALCO,19.4909,-99.1861,432205
CIUDAD DE MÉXICO,002,COYOACÁN,19.3467,-99.1618,614447
CIUDAD DE MÉXICO,003,CUAJIMALPA DE MORELOS,19.365,-99.2933,217686
CIUDAD DE MÉXICO,004,GUSTAVO A. MADERO,19.4896,-99.1147,1164477
CIUDAD DE MÉXICO,005,IZTACALCO,19.4126,-99.1124,404695
CIUDAD DE MÉXICO,006,IZTAPALAPA,19.3573,-99.0535,1835486
CIUDAD DE MÉXICO,007,LA MAGDALENA CONTRERAS,19.3018,-99.2395,247622
CIUDAD DE MÉXICO,008,MILPA ALTA,19.1924,-99.0238,152685
CIUDAD DE MÉXICO,009,ÁLVARO OBREGÓN,19.3723,-99.2394,759137
CIUDAD DE MÉXICO,010,TLÁHUAC,19.2864,-99.0134,392313
MÉXICO,001,ACAMBAY DE RUÍZ CASTAÑEDA,19.9394,-99.8472,68571
MÉXICO,013,ATIZAPÁN DE ZARAGOZA,19.5806,-99.2547,523296
MÉXICO,020,COACALCO DE BERRIOZÁBAL,19.6319,-99.1072,293444
MÉXICO,025,CUAUTITLÁN,19.6694,-99.1764,149550
MÉXICO,028,CUAUTITLÁN IZCALLI,19.6464,-99.2403,555803
MÉXICO,033,ECATEPEC DE MORELOS,19.6197,-99.0642,1645352
MÉXICO,037,HUIXQUILUCAN,19.3647,-99.3497,267858
MÉXICO,053,NAUCALPAN DE JUÁREZ,19.4781,-99.2381,833779
MÉXICO,058,NEZAHUALCÓYOTL,19.4003,-99.0142,1077208
MÉXICO,081,TLALNEPANTLA DE BAZ,19.5408,-99.195,700734
MÉXICO,104,TOLUCA,19.2889,-99.6561,910608
JALISCO,020,GUADALAJARA,20.6597,-103.3496,1385629
JALISCO,097,TLAQUEPAQUE,20.6401,-103.2893,687127
JALISCO,101,TONALÁ,20.6231,-103.2333,568960
JALISCO,124,ZAPOPAN,20.7227,-103.3844,1476491
NUEVO LEÓN,019,GUADALUPE,25.6767,-100.2578,678006
NUEVO LEÓN,039,MONTERREY,25.6866,-100.3161,1135512
NUEVO LEÓN,046,SAN NICOLÁS DE LOS GARZA,25.7415,-100.2864,443273
NUEVO LEÓN,048,SAN PEDRO GARZA GARCÍA,25.6522,-100.4061,122659
